t_estimate,t_true,tumor_size
98.682218,103.667451,1000.000000
98.682218,104.646985,1000.000000
98.682218,84.195644,1000.000000
98.682218,73.232284,1000.000000
98.682218,74.080416,1000.000000
98.682218,79.293624,1000.000000
98.682218,71.408991,1000.000000
98.682218,71.042881,1000.000000
98.682218,83.160623,1000.000000
98.682218,88.581417,1000.000000
98.682218,93.546373,1000.000000
98.682218,69.126880,1000.000000
98.682218,76.775176,1000.000000
98.682218,78.902883,1000.000000
98.682218,83.829209,1000.000000
98.682218,89.162223,1000.000000
98.682218,127.393848,1000.000000
98.682218,92.175571,1000.000000
98.682218,71.664513,1000.000000
98.682218,93.813778,1000.000000
98.682218,80.303493,1000.000000
98.682218,84.563764,1000.000000
98.682218,85.195265,1000.000000
98.682218,80.165734,1000.000000
98.682218,73.812633,1000.000000
98.682218,77.515553,1000.000000
98.682218,70.478550,1000.000000
98.682218,80.424210,1000.000000
98.682218,117.440168,1000.000000
98.682218,99.566529,1000.000000
98.682218,81.599580,1000.000000
98.682218,90.648339,1000.000000
98.682218,99.399168,1000.000000
98.682218,65.026051,1000.000000
98.682218,87.098824,1000.000000
98.682218,75.825174,1000.000000
98.682218,115.221519,1000.000000
98.682218,102.311051,1000.000000
98.682218,95.848766,1000.000000
98.682218,83.166109,1000.000000
98.682218,69.524369,1000.000000
98.682218,111.706946,1000.000000
98.682218,123.025599,1000.000000
98.682218,83.626807,1000.000000
98.682218,110.323757,1000.000000
98.682218,89.224723,1000.000000
98.682218,80.606588,1000.000000
98.682218,91.841703,1000.000000
98.682218,83.296441,1000.000000
98.682218,73.580283,1000.000000
98.682218,97.433437,1000.000000
98.682218,99.571557,1000.000000
98.682218,80.225012,1000.000000
98.682218,83.915135,1000.000000
98.682218,71.321089,1000.000000
98.682218,80.862718,1000.000000
98.682218,77.392157,1000.000000
98.682218,91.200652,1000.000000
98.682218,110.732020,1000.000000
98.682218,90.643577,1000.000000
98.682218,96.905393,1000.000000
98.682218,93.113846,1000.000000
98.682218,70.432059,1000.000000
98.682218,88.386400,1000.000000
98.682218,73.758743,1000.000000
98.682218,78.482215,1000.000000
98.682218,98.245025,1000.000000
98.682218,89.117162,1000.000000
98.682218,82.481338,1000.000000
98.682218,83.960330,1000.000000
98.682218,91.836966,1000.000000
98.682218,73.098686,1000.000000
98.682218,77.541033,1000.000000
98.682218,110.802054,1000.000000
98.682218,87.085757,1000.000000
98.682218,99.227452,1000.000000
98.682218,82.601087,1000.000000
98.682218,80.008157,1000.000000
98.682218,87.877662,1000.000000
98.682218,110.786890,1000.000000
131.576291,123.401270,10000.000000
131.576291,131.036930,10000.000000
131.576291,103.989351,10000.000000
131.576291,118.229397,10000.000000
131.576291,131.524913,10000.000000
131.576291,138.260936,10000.000000
131.576291,105.064885,10000.000000
131.576291,135.349170,10000.000000
131.576291,107.976073,10000.000000
131.576291,105.931742,10000.000000
131.576291,113.375132,10000.000000
131.576291,157.400602,10000.000000
131.576291,108.232633,10000.000000
131.576291,116.145159,10000.000000
131.576291,146.235630,10000.000000
131.576291,113.150801,10000.000000
131.576291,119.933322,10000.000000
131.576291,140.328841,10000.000000
131.576291,134.600654,10000.000000
131.576291,129.705719,10000.000000
131.576291,106.147311,10000.000000
131.576291,106.996909,10000.000000
131.576291,162.225968,10000.000000
131.576291,119.177283,10000.000000
131.576291,119.734935,10000.000000
131.576291,149.128921,10000.000000
131.576291,122.649241,10000.000000
131.576291,146.309701,10000.000000
131.576291,128.683867,10000.000000
131.576291,123.036035,10000.000000
131.576291,145.157295,10000.000000
131.576291,152.723607,10000.000000
131.576291,104.823330,10000.000000
131.576291,110.578226,10000.000000
131.576291,100.560144,10000.000000
131.576291,126.383877,10000.000000
131.576291,106.388075,10000.000000
131.576291,125.728112,10000.000000
131.576291,130.575030,10000.000000
131.576291,126.752765,10000.000000
131.576291,114.508005,10000.000000
131.576291,118.990488,10000.000000
131.576291,126.285170,10000.000000
131.576291,113.332214,10000.000000
131.576291,112.755311,10000.000000
131.576291,109.008276,10000.000000
131.576291,112.208701,10000.000000
131.576291,135.089057,10000.000000
131.576291,116.190149,10000.000000
131.576291,112.446778,10000.000000
131.576291,129.193405,10000.000000
131.576291,131.074085,10000.000000
131.576291,116.137221,10000.000000
131.576291,121.810276,10000.000000
131.576291,120.350444,10000.000000
131.576291,108.432055,10000.000000
131.576291,116.636447,10000.000000
131.576291,115.326509,10000.000000
131.576291,113.633323,10000.000000
131.576291,118.358710,10000.000000
131.576291,120.766490,10000.000000
131.576291,134.614405,10000.000000
131.576291,133.938775,10000.000000
131.576291,120.189613,10000.000000
131.576291,116.502977,10000.000000
131.576291,119.035212,10000.000000
131.576291,127.338570,10000.000000
131.576291,117.047367,10000.000000
131.576291,125.803588,10000.000000
131.576291,132.311317,10000.000000
131.576291,143.896755,10000.000000
131.576291,123.208723,10000.000000
131.576291,128.660503,10000.000000
131.576291,116.525248,10000.000000
131.576291,110.178582,10000.000000
131.576291,124.032862,10000.000000
131.576291,108.861794,10000.000000
131.576291,107.913737,10000.000000
131.576291,147.110632,10000.000000
131.576291,115.314086,10000.000000
164.470364,162.759355,100000.000000
164.470364,149.863041,100000.000000
164.470364,183.762967,100000.000000
164.470364,152.724139,100000.000000
164.470364,165.205320,100000.000000
164.470364,142.374593,100000.000000
164.470364,138.975654,100000.000000
164.470364,160.363295,100000.000000
164.470364,174.361512,100000.000000
164.470364,150.314376,100000.000000
164.470364,160.799801,100000.000000
164.470364,168.584883,100000.000000
164.470364,154.569661,100000.000000
164.470364,150.388873,100000.000000
164.470364,147.957136,100000.000000
164.470364,166.059520,100000.000000
164.470364,143.409373,100000.000000
164.470364,165.022759,100000.000000
164.470364,146.494701,100000.000000
164.470364,179.155187,100000.000000
164.470364,155.998613,100000.000000
164.470364,157.309313,100000.000000
164.470364,140.274430,100000.000000
164.470364,157.786031,100000.000000
